"year","from","to","points"
1975,"Belgium","France",2
1975,"Belgium","Ireland",12
1975,"Belgium","Israel",1
1975,"Belgium","Italy",6
1975,"Belgium","Malta",7
1975,"Belgium","Spain",4
1975,"Belgium","Switzerland",8
1975,"Belgium","The Netherlands",3
1975,"Belgium","United Kingdom",10
1975,"Belgium","Yugoslavia",5
1975,"Finland","Ireland",1
1975,"Finland","Israel",3
1975,"Finland","Italy",12
1975,"Finland","Luxembourg",5
1975,"Finland","Monaco",2
1975,"Finland","Spain",8
1975,"Finland","Sweden",6
1975,"Finland","Switzerland",4
1975,"Finland","The Netherlands",10
1975,"Finland","United Kingdom",7
1975,"France","Ireland",6
1975,"France","Israel",1
1975,"France","Italy",4
1975,"France","Luxembourg",3
1975,"France","Malta",8
1975,"France","Portugal",2
1975,"France","Sweden",7
1975,"France","Switzerland",10
1975,"France","The Netherlands",5
1975,"France","United Kingdom",12
1975,"Germany","Belgium",7
1975,"Germany","Finland",12
1975,"Germany","Israel",1
1975,"Germany","Italy",4
1975,"Germany","Monaco",3
1975,"Germany","Spain",5
1975,"Germany","Switzerland",6
1975,"Germany","The Netherlands",8
1975,"Germany","United Kingdom",10
1975,"Germany","Yugoslavia",2
1975,"Ireland","Finland",5
1975,"Ireland","France",12
1975,"Ireland","Israel",1
1975,"Ireland","Italy",6
1975,"Ireland","Luxembourg",10
1975,"Ireland","Spain",7
1975,"Ireland","Switzerland",2
1975,"Ireland","The Netherlands",8
1975,"Ireland","United Kingdom",3
1975,"Ireland","Yugoslavia",4
1975,"Israel","Finland",8
1975,"Israel","France",7
1975,"Israel","Italy",5
1975,"Israel","Luxembourg",6
1975,"Israel","Malta",1
1975,"Israel","Monaco",2
1975,"Israel","Spain",4
1975,"Israel","Sweden",3
1975,"Israel","The Netherlands",12
1975,"Israel","United Kingdom",10
1975,"Italy","France",8
1975,"Italy","Ireland",4
1975,"Italy","Israel",2
1975,"Italy","Luxembourg",10
1975,"Italy","Monaco",5
1975,"Italy","Norway",7
1975,"Italy","Spain",6
1975,"Italy","Switzerland",12
1975,"Italy","The Netherlands",1
1975,"Italy","United Kingdom",3
1975,"Luxembourg","Finland",6
1975,"Luxembourg","Germany",8
1975,"Luxembourg","Israel",1
1975,"Luxembourg","Italy",3
1975,"Luxembourg","Malta",5
1975,"Luxembourg","Monaco",4
1975,"Luxembourg","Sweden",7
1975,"Luxembourg","Switzerland",2
1975,"Luxembourg","The Netherlands",10
1975,"Luxembourg","United Kingdom",12
1975,"Malta","France",7
1975,"Malta","Germany",3
1975,"Malta","Ireland",4
1975,"Malta","Italy",10
1975,"Malta","Luxembourg",5
1975,"Malta","Monaco",1
1975,"Malta","Sweden",2
1975,"Malta","Switzerland",6
1975,"Malta","The Netherlands",12
1975,"Malta","United Kingdom",8
1975,"Monaco","Finland",8
1975,"Monaco","France",7
1975,"Monaco","Italy",1
1975,"Monaco","Norway",2
1975,"Monaco","Spain",4
1975,"Monaco","Sweden",6
1975,"Monaco","Switzerland",5
1975,"Monaco","The Netherlands",10
1975,"Monaco","Turkey",3
1975,"Monaco","United Kingdom",12
1975,"Norway","Finland",10
1975,"Norway","Ireland",4
1975,"Norway","Israel",5
1975,"Norway","Italy",6
1975,"Norway","Malta",2
1975,"Norway","Spain",3
1975,"Norway","Sweden",8
1975,"Norway","Switzerland",1
1975,"Norway","The Netherlands",12
1975,"Norway","United Kingdom",7
1975,"Portugal","France",12
1975,"Portugal","Ireland",4
1975,"Portugal","Italy",10
1975,"Portugal","Luxembourg",8
1975,"Portugal","Monaco",3
1975,"Portugal","Sweden",6
1975,"Portugal","Switzerland",2
1975,"Portugal","The Netherlands",7
1975,"Portugal","United Kingdom",5
1975,"Portugal","Yugoslavia",1
1975,"Spain","Finland",1
1975,"Spain","France",8
1975,"Spain","Germany",4
1975,"Spain","Ireland",3
1975,"Spain","Italy",7
1975,"Spain","Luxembourg",6
1975,"Spain","Portugal",2
1975,"Spain","Sweden",5
1975,"Spain","The Netherlands",12
1975,"Spain","United Kingdom",10
1975,"Sweden","Belgium",2
1975,"Sweden","Finland",3
1975,"Sweden","France",8
1975,"Sweden","Ireland",10
1975,"Sweden","Israel",6
1975,"Sweden","Italy",1
1975,"Sweden","Luxembourg",4
1975,"Sweden","The Netherlands",12
1975,"Sweden","United Kingdom",5
1975,"Sweden","Yugoslavia",7
1975,"Switzerland","Finland",12
1975,"Switzerland","France",3
1975,"Switzerland","Ireland",7
1975,"Switzerland","Israel",2
1975,"Switzerland","Italy",10
1975,"Switzerland","Malta",4
1975,"Switzerland","Spain",5
1975,"Switzerland","Sweden",1
1975,"Switzerland","The Netherlands",6
1975,"Switzerland","United Kingdom",8
1975,"The Netherlands","Belgium",5
1975,"The Netherlands","France",8
1975,"The Netherlands","Ireland",6
1975,"The Netherlands","Israel",10
1975,"The Netherlands","Luxembourg",12
1975,"The Netherlands","Malta",1
1975,"The Netherlands","Norway",2
1975,"The Netherlands","Switzerland",7
1975,"The Netherlands","United Kingdom",4
1975,"The Netherlands","Yugoslavia",3
1975,"Turkey","France",1
1975,"Turkey","Israel",6
1975,"Turkey","Italy",10
1975,"Turkey","Luxembourg",5
1975,"Turkey","Malta",2
1975,"Turkey","Portugal",12
1975,"Turkey","Spain",3
1975,"Turkey","Sweden",8
1975,"Turkey","Switzerland",7
1975,"Turkey","The Netherlands",4
1975,"United Kingdom","Finland",4
1975,"United Kingdom","France",8
1975,"United Kingdom","Ireland",6
1975,"United Kingdom","Israel",1
1975,"United Kingdom","Italy",10
1975,"United Kingdom","Luxembourg",3
1975,"United Kingdom","Monaco",2
1975,"United Kingdom","Sweden",7
1975,"United Kingdom","Switzerland",5
1975,"United Kingdom","The Netherlands",12
1975,"Yugoslavia","Belgium",3
1975,"Yugoslavia","Finland",5
1975,"Yugoslavia","Ireland",1
1975,"Yugoslavia","Italy",10
1975,"Yugoslavia","Luxembourg",7
1975,"Yugoslavia","Malta",2
1975,"Yugoslavia","Spain",4
1975,"Yugoslavia","Sweden",6
1975,"Yugoslavia","The Netherlands",8
1975,"Yugoslavia","United Kingdom",12
1976,"Austria","Belgium",3
1976,"Austria","Finland",7
1976,"Austria","France",12
1976,"Austria","Ireland",2
1976,"Austria","Israel",6
1976,"Austria","Italy",1
1976,"Austria","Monaco",5
1976,"Austria","Switzerland",8
1976,"Austria","The Netherlands",4
1976,"Austria","United Kingdom",10
1976,"Belgium","Austria",3
1976,"Belgium","France",10
1976,"Belgium","Germany",1
1976,"Belgium","Greece",2
1976,"Belgium","Israel",5
1976,"Belgium","Luxembourg",6
1976,"Belgium","Monaco",8
1976,"Belgium","Switzerland",7
1976,"Belgium","The Netherlands",4
1976,"Belgium","United Kingdom",12
1976,"Finland","Austria",5
1976,"Finland","Belgium",12
1976,"Finland","France",3
1976,"Finland","Greece",4
1976,"Finland","Israel",8
1976,"Finland","Italy",6
1976,"Finland","Monaco",2
1976,"Finland","Portugal",1
1976,"Finland","Switzerland",7
1976,"Finland","United Kingdom",10
1976,"France","Belgium",5
1976,"France","Germany",2
1976,"France","Greece",8
1976,"France","Ireland",3
1976,"France","Italy",10
1976,"France","Portugal",12
1976,"France","Spain",1
1976,"France","Switzerland",6
1976,"France","United Kingdom",7
1976,"France","Yugoslavia",4
1976,"Germany","Austria",10
1976,"Germany","Finland",6
1976,"Germany","France",12
1976,"Germany","Ireland",1
1976,"Germany","Israel",3
1976,"Germany","Monaco",7
1976,"Germany","Switzerland",5
1976,"Germany","The Netherlands",4
1976,"Germany","United Kingdom",8
1976,"Germany","Yugoslavia",2
1976,"Greece","Austria",6
1976,"Greece","France",5
1976,"Greece","Ireland",8
1976,"Greece","Italy",10
1976,"Greece","Portugal",4
1976,"Greece","Spain",1
1976,"Greece","Switzerland",2
1976,"Greece","The Netherlands",7
1976,"Greece","United Kingdom",12
1976,"Greece","Yugoslavia",3
1976,"Ireland","Austria",10
1976,"Ireland","Finland",5
1976,"Ireland","France",7
1976,"Ireland","Israel",4
1976,"Ireland","Italy",12
1976,"Ireland","Luxembourg",6
1976,"Ireland","Monaco",8
1976,"Ireland","Switzerland",1
1976,"Ireland","The Netherlands",2
1976,"Ireland","United Kingdom",3
1976,"Israel","Austria",10
1976,"Israel","Belgium",1
1976,"Israel","Finland",6
1976,"Israel","France",5
1976,"Israel","Ireland",3
1976,"Israel","Italy",2
1976,"Israel","Monaco",7
1976,"Israel","Switzerland",4
1976,"Israel","The Netherlands",8
1976,"Israel","United Kingdom",12
1976,"Italy","Belgium",8
1976,"Italy","France",6
1976,"Italy","Greece",5
1976,"Italy","Ireland",12
1976,"Italy","Israel",10
1976,"Italy","Monaco",7
1976,"Italy","Portugal",1
1976,"Italy","Spain",3
1976,"Italy","The Netherlands",2
1976,"Italy","United Kingdom",4
1976,"Luxembourg","Austria",5
1976,"Luxembourg","France",10
1976,"Luxembourg","Germany",2
1976,"Luxembourg","Ireland",3
1976,"Luxembourg","Israel",7
1976,"Luxembourg","Monaco",12
1976,"Luxembourg","Portugal",6
1976,"Luxembourg","Switzerland",1
1976,"Luxembourg","The Netherlands",4
1976,"Luxembourg","United Kingdom",8
1976,"Monaco","Austria",5
1976,"Monaco","Belgium",8
1976,"Monaco","Finland",7
1976,"Monaco","France",12
1976,"Monaco","Ireland",6
1976,"Monaco","Israel",1
1976,"Monaco","Spain",3
1976,"Monaco","Switzerland",4
1976,"Monaco","The Netherlands",2
1976,"Monaco","United Kingdom",10
1976,"Norway","Austria",2
1976,"Norway","Belgium",6
1976,"Norway","Finland",4
1976,"Norway","France",8
1976,"Norway","Israel",7
1976,"Norway","Italy",3
1976,"Norway","Monaco",5
1976,"Norway","Switzerland",10
1976,"Norway","The Netherlands",1
1976,"Norway","United Kingdom",12
1976,"Portugal","Belgium",8
1976,"Portugal","France",5
1976,"Portugal","Greece",1
1976,"Portugal","Israel",2
1976,"Portugal","Italy",10
1976,"Portugal","Monaco",3
1976,"Portugal","Norway",4
1976,"Portugal","Switzerland",7
1976,"Portugal","The Netherlands",6
1976,"Portugal","United Kingdom",12
1976,"Spain","Austria",8
1976,"Spain","Finland",6
1976,"Spain","France",10
1976,"Spain","Germany",2
1976,"Spain","Ireland",5
1976,"Spain","Israel",1
1976,"Spain","Monaco",7
1976,"Spain","Switzerland",4
1976,"Spain","The Netherlands",3
1976,"Spain","United Kingdom",12
1976,"Switzerland","Austria",3
1976,"Switzerland","Belgium",6
1976,"Switzerland","France",10
1976,"Switzerland","Germany",2
1976,"Switzerland","Israel",7
1976,"Switzerland","Italy",8
1976,"Switzerland","Monaco",5
1976,"Switzerland","The Netherlands",4
1976,"Switzerland","United Kingdom",12
1976,"Switzerland","Yugoslavia",1
1976,"The Netherlands","Austria",7
1976,"The Netherlands","Belgium",4
1976,"The Netherlands","Finland",1
1976,"The Netherlands","France",12
1976,"The Netherlands","Israel",2
1976,"The Netherlands","Luxembourg",5
1976,"The Netherlands","Monaco",8
1976,"The Netherlands","Norway",3
1976,"The Netherlands","Switzerland",6
1976,"The Netherlands","United Kingdom",10
1976,"United Kingdom","Austria",4
1976,"United Kingdom","Belgium",7
1976,"United Kingdom","Finland",2
1976,"United Kingdom","France",8
1976,"United Kingdom","Ireland",10
1976,"United Kingdom","Israel",6
1976,"United Kingdom","Italy",1
1976,"United Kingdom","Monaco",5
1976,"United Kingdom","Spain",3
1976,"United Kingdom","Switzerland",12
1976,"Yugoslavia","Austria",2
1976,"Yugoslavia","France",12
1976,"Yugoslavia","Germany",3
1976,"Yugoslavia","Ireland",1
1976,"Yugoslavia","Israel",8
1976,"Yugoslavia","Italy",6
1976,"Yugoslavia","Monaco",4
1976,"Yugoslavia","Switzerland",7
1976,"Yugoslavia","The Netherlands",5
1976,"Yugoslavia","United Kingdom",10
1977,"Austria","Finland",6
1977,"Austria","France",7
1977,"Austria","Germany",2
1977,"Austria","Greece",4
1977,"Austria","Ireland",5
1977,"Austria","Israel",3
1977,"Austria","Monaco",8
1977,"Austria","Spain",1
1977,"Austria","Switzerland",10
1977,"Austria","United Kingdom",12
1977,"Belgium","France",4
1977,"Belgium","Greece",6
1977,"Belgium","Ireland",3
1977,"Belgium","Israel",1
1977,"Belgium","Monaco",2
1977,"Belgium","Norway",5
1977,"Belgium","Spain",7
1977,"Belgium","Switzerland",8
1977,"Belgium","The Netherlands",10
1977,"Belgium","United Kingdom",12
1977,"Finland","Austria",1
1977,"Finland","Belgium",3
1977,"Finland","France",12
1977,"Finland","Greece",6
1977,"Finland","Italy",2
1977,"Finland","Luxembourg",8
1977,"Finland","Monaco",5
1977,"Finland","Spain",7
1977,"Finland","Switzerland",10
1977,"Finland","United Kingdom",4
1977,"France","Finland",4
1977,"France","Germany",1
1977,"France","Greece",3
1977,"France","Ireland",10
1977,"France","Israel",2
1977,"France","Italy",7
1977,"France","Monaco",5
1977,"France","Portugal",6
1977,"France","The Netherlands",8
1977,"France","United Kingdom",12
1977,"Germany","Belgium",8
1977,"Germany","France",12
1977,"Germany","Greece",4
1977,"Germany","Ireland",5
1977,"Germany","Italy",3
1977,"Germany","Monaco",6
1977,"Germany","Portugal",1
1977,"Germany","Spain",7
1977,"Germany","Sweden",2
1977,"Germany","United Kingdom",10
1977,"Greece","Austria",3
1977,"Greece","Belgium",5
1977,"Greece","Finland",2
1977,"Greece","France",7
1977,"Greece","Germany",8
1977,"Greece","Ireland",10
1977,"Greece","Monaco",12
1977,"Greece","Spain",4
1977,"Greece","Switzerland",6
1977,"Greece","The Netherlands",1
1977,"Ireland","Belgium",4
1977,"Ireland","Finland",12
1977,"Ireland","France",10
1977,"Ireland","Germany",1
1977,"Ireland","Israel",7
1977,"Ireland","Italy",8
1977,"Ireland","Luxembourg",2
1977,"Ireland","Monaco",5
1977,"Ireland","Switzerland",6
1977,"Ireland","The Netherlands",3
1977,"Israel","Belgium",6
1977,"Israel","Finland",7
1977,"Israel","France",10
1977,"Israel","Germany",5
1977,"Israel","Greece",3
1977,"Israel","Ireland",12
1977,"Israel","Monaco",2
1977,"Israel","Switzerland",4
1977,"Israel","The Netherlands",1
1977,"Israel","United Kingdom",8
1977,"Italy","France",10
1977,"Italy","Germany",6
1977,"Italy","Greece",1
1977,"Italy","Ireland",8
1977,"Italy","Monaco",12
1977,"Italy","Norway",5
1977,"Italy","Portugal",3
1977,"Italy","Spain",7
1977,"Italy","Switzerland",4
1977,"Italy","United Kingdom",2
1977,"Luxembourg","Belgium",4
1977,"Luxembourg","France",10
1977,"Luxembourg","Germany",2
1977,"Luxembourg","Greece",6
1977,"Luxembourg","Ireland",8
1977,"Luxembourg","Monaco",1
1977,"Luxembourg","Norway",3
1977,"Luxembourg","Spain",7
1977,"Luxembourg","Switzerland",5
1977,"Luxembourg","United Kingdom",12
1977,"Monaco","Austria",5
1977,"Monaco","France",4
1977,"Monaco","Germany",1
1977,"Monaco","Greece",10
1977,"Monaco","Ireland",8
1977,"Monaco","Israel",7
1977,"Monaco","Italy",6
1977,"Monaco","Portugal",2
1977,"Monaco","The Netherlands",3
1977,"Monaco","United Kingdom",12
1977,"Norway","Austria",2
1977,"Norway","Belgium",6
1977,"Norway","Finland",8
1977,"Norway","France",3
1977,"Norway","Greece",4
1977,"Norway","Ireland",12
1977,"Norway","Israel",5
1977,"Norway","Monaco",1
1977,"Norway","Switzerland",10
1977,"Norway","United Kingdom",7
1977,"Portugal","Belgium",7
1977,"Portugal","France",5
1977,"Portugal","Germany",8
1977,"Portugal","Greece",10
1977,"Portugal","Ireland",1
1977,"Portugal","Italy",3
1977,"Portugal","Monaco",6
1977,"Portugal","Norway",2
1977,"Portugal","Switzerland",4
1977,"Portugal","United Kingdom",12
1977,"Spain","France",10
1977,"Spain","Germany",5
1977,"Spain","Greece",12
1977,"Spain","Ireland",4
1977,"Spain","Israel",6
1977,"Spain","Italy",2
1977,"Spain","Luxembourg",7
1977,"Spain","Monaco",8
1977,"Spain","The Netherlands",1
1977,"Spain","United Kingdom",3
1977,"Sweden","Belgium",4
1977,"Sweden","Finland",2
1977,"Sweden","France",6
1977,"Sweden","Germany",5
1977,"Sweden","Greece",7
1977,"Sweden","Ireland",12
1977,"Sweden","Israel",3
1977,"Sweden","Monaco",10
1977,"Sweden","Norway",1
1977,"Sweden","United Kingdom",8
1977,"Switzerland","Finland",5
1977,"Switzerland","France",12
1977,"Switzerland","Greece",1
1977,"Switzerland","Ireland",8
1977,"Switzerland","Israel",10
1977,"Switzerland","Italy",2
1977,"Switzerland","Monaco",6
1977,"Switzerland","Portugal",4
1977,"Switzerland","Spain",3
1977,"Switzerland","The Netherlands",7
1977,"The Netherlands","Belgium",12
1977,"The Netherlands","Finland",4
1977,"The Netherlands","France",8
1977,"The Netherlands","Germany",3
1977,"The Netherlands","Greece",10
1977,"The Netherlands","Ireland",1
1977,"The Netherlands","Israel",5
1977,"The Netherlands","Portugal",2
1977,"The Netherlands","Spain",6
1977,"The Netherlands","United Kingdom",7
1977,"United Kingdom","Belgium",10
1977,"United Kingdom","France",6
1977,"United Kingdom","Germany",8
1977,"United Kingdom","Greece",5
1977,"United Kingdom","Ireland",12
1977,"United Kingdom","Monaco",7
1977,"United Kingdom","Norway",2
1977,"United Kingdom","Spain",3
1977,"United Kingdom","Switzerland",4
1977,"United Kingdom","The Netherlands",1
1978,"Austria","Belgium",4
1978,"Austria","Denmark",2
1978,"Austria","France",12
1978,"Austria","Greece",3
1978,"Austria","Ireland",6
1978,"Austria","Israel",8
1978,"Austria","Monaco",1
1978,"Austria","Spain",7
1978,"Austria","Switzerland",10
1978,"Austria","United Kingdom",5
1978,"Belgium","France",8
1978,"Belgium","Germany",5
1978,"Belgium","Ireland",10
1978,"Belgium","Israel",12
1978,"Belgium","Italy",1
1978,"Belgium","Luxembourg",3
1978,"Belgium","Monaco",6
1978,"Belgium","Spain",2
1978,"Belgium","Switzerland",7
1978,"Belgium","United Kingdom",4
1978,"Denmark","Austria",2
1978,"Denmark","France",8
1978,"Denmark","Germany",1
1978,"Denmark","Greece",4
1978,"Denmark","Israel",6
1978,"Denmark","Luxembourg",7
1978,"Denmark","Monaco",10
1978,"Denmark","Spain",12
1978,"Denmark","Switzerland",3
1978,"Denmark","The Netherlands",5
1978,"Finland","Belgium",6
1978,"Finland","France",2
1978,"Finland","Germany",12
1978,"Finland","Greece",5
1978,"Finland","Ireland",3
1978,"Finland","Israel",10
1978,"Finland","Monaco",8
1978,"Finland","Spain",7
1978,"Finland","Sweden",4
1978,"Finland","Switzerland",1
1978,"France","Belgium",12
1978,"France","Denmark",6
1978,"France","Greece",10
1978,"France","Ireland",5
1978,"France","Israel",8
1978,"France","Italy",4
1978,"France","Monaco",1
1978,"France","Sweden",3
1978,"France","Switzerland",7
1978,"France","United Kingdom",2
1978,"Germany","Austria",1
1978,"Germany","Belgium",3
1978,"Germany","France",10
1978,"Germany","Ireland",5
1978,"Germany","Israel",12
1978,"Germany","Italy",2
1978,"Germany","Monaco",7
1978,"Germany","Switzerland",6
1978,"Germany","The Netherlands",4
1978,"Germany","United Kingdom",8
1978,"Greece","Belgium",12
1978,"Greece","France",8
1978,"Greece","Germany",7
1978,"Greece","Ireland",10
1978,"Greece","Israel",5
1978,"Greece","Italy",2
1978,"Greece","Luxembourg",1
1978,"Greece","Monaco",4
1978,"Greece","Spain",6
1978,"Greece","United Kingdom",3
1978,"Ireland","Belgium",12
1978,"Ireland","France",6
1978,"Ireland","Germany",1
1978,"Ireland","Greece",7
1978,"Ireland","Israel",8
1978,"Ireland","Italy",10
1978,"Ireland","Luxembourg",2
1978,"Ireland","Monaco",4
1978,"Ireland","Sweden",5
1978,"Ireland","United Kingdom",3
1978,"Israel","Belgium",7
1978,"Israel","Denmark",4
1978,"Israel","France",5
1978,"Israel","Germany",3
1978,"Israel","Greece",10
1978,"Israel","Monaco",8
1978,"Israel","Spain",6
1978,"Israel","Switzerland",1
1978,"Israel","The Netherlands",12
1978,"Israel","United Kingdom",2
1978,"Italy","Belgium",6
1978,"Italy","France",10
1978,"Italy","Germany",3
1978,"Italy","Greece",2
1978,"Italy","Israel",8
1978,"Italy","Luxembourg",12
1978,"Italy","Monaco",7
1978,"Italy","Portugal",4
1978,"Italy","Switzerland",1
1978,"Italy","The Netherlands",5
1978,"Luxembourg","Belgium",7
1978,"Luxembourg","France",1
1978,"Luxembourg","Greece",4
1978,"Luxembourg","Ireland",10
1978,"Luxembourg","Israel",12
1978,"Luxembourg","Italy",3
1978,"Luxembourg","Spain",2
1978,"Luxembourg","Switzerland",8
1978,"Luxembourg","The Netherlands",6
1978,"Luxembourg","United Kingdom",5
1978,"Monaco","Belgium",12
1978,"Monaco","France",5
1978,"Monaco","Germany",10
1978,"Monaco","Israel",3
1978,"Monaco","Italy",8
1978,"Monaco","Luxembourg",6
1978,"Monaco","Spain",4
1978,"Monaco","Switzerland",2
1978,"Monaco","The Netherlands",1
1978,"Monaco","United Kingdom",7
1978,"Norway","Belgium",7
1978,"Norway","Finland",2
1978,"Norway","France",3
1978,"Norway","Ireland",12
1978,"Norway","Israel",8
1978,"Norway","Italy",6
1978,"Norway","Monaco",4
1978,"Norway","Sweden",10
1978,"Norway","Switzerland",5
1978,"Norway","Turkey",1
1978,"Portugal","Austria",3
1978,"Portugal","Belgium",4
1978,"Portugal","France",2
1978,"Portugal","Germany",7
1978,"Portugal","Greece",8
1978,"Portugal","Israel",10
1978,"Portugal","Italy",1
1978,"Portugal","Luxembourg",12
1978,"Portugal","Monaco",5
1978,"Portugal","United Kingdom",6
1978,"Spain","Belgium",2
1978,"Spain","France",5
1978,"Spain","Germany",10
1978,"Spain","Greece",7
1978,"Spain","Israel",6
1978,"Spain","Italy",8
1978,"Spain","Luxembourg",12
1978,"Spain","Portugal",1
1978,"Spain","Switzerland",4
1978,"Spain","United Kingdom",3
1978,"Sweden","Austria",5
1978,"Sweden","Belgium",4
1978,"Sweden","France",10
1978,"Sweden","Germany",7
1978,"Sweden","Greece",2
1978,"Sweden","Ireland",8
1978,"Sweden","Luxembourg",6
1978,"Sweden","Monaco",12
1978,"Sweden","The Netherlands",1
1978,"Sweden","United Kingdom",3
1978,"Switzerland","Belgium",10
1978,"Switzerland","France",6
1978,"Switzerland","Germany",3
1978,"Switzerland","Greece",4
1978,"Switzerland","Ireland",7
1978,"Switzerland","Israel",12
1978,"Switzerland","Italy",1
1978,"Switzerland","Monaco",5
1978,"Switzerland","Spain",8
1978,"Switzerland","United Kingdom",2
1978,"The Netherlands","Belgium",5
1978,"The Netherlands","Denmark",1
1978,"The Netherlands","France",6
1978,"The Netherlands","Germany",7
1978,"The Netherlands","Israel",12
1978,"The Netherlands","Luxembourg",3
1978,"The Netherlands","Monaco",10
1978,"The Netherlands","Spain",4
1978,"The Netherlands","Switzerland",8
1978,"The Netherlands","United Kingdom",2
1978,"Turkey","Austria",3
1978,"Turkey","France",4
1978,"Turkey","Germany",8
1978,"Turkey","Ireland",10
1978,"Turkey","Israel",12
1978,"Turkey","Italy",1
1978,"Turkey","Luxembourg",2
1978,"Turkey","Monaco",5
1978,"Turkey","Spain",7
1978,"Turkey","United Kingdom",6
1978,"United Kingdom","Belgium",12
1978,"United Kingdom","France",8
1978,"United Kingdom","Israel",5
1978,"United Kingdom","Italy",6
1978,"United Kingdom","Luxembourg",7
1978,"United Kingdom","Monaco",10
1978,"United Kingdom","Sweden",4
1978,"United Kingdom","Switzerland",2
1978,"United Kingdom","The Netherlands",3
1978,"United Kingdom","Turkey",1
1979,"Austria","Denmark",3
1979,"Austria","France",5
1979,"Austria","Greece",2
1979,"Austria","Israel",8
1979,"Austria","Norway",1
1979,"Austria","Portugal",7
1979,"Austria","Spain",10
1979,"Austria","Switzerland",12
1979,"Austria","The Netherlands",4
1979,"Austria","United Kingdom",6
1979,"Belgium","Denmark",7
1979,"Belgium","France",6
1979,"Belgium","Germany",4
1979,"Belgium","Greece",1
1979,"Belgium","Ireland",10
1979,"Belgium","Israel",2
1979,"Belgium","Norway",8
1979,"Belgium","Portugal",5
1979,"Belgium","Spain",12
1979,"Belgium","The Netherlands",3
1979,"Denmark","Belgium",2
1979,"Denmark","Germany",12
1979,"Denmark","Greece",1
1979,"Denmark","Ireland",5
1979,"Denmark","Israel",6
1979,"Denmark","Monaco",4
1979,"Denmark","Spain",3
1979,"Denmark","Switzerland",7
1979,"Denmark","The Netherlands",8
1979,"Denmark","United Kingdom",10
1979,"Finland","France",1
1979,"Finland","Germany",3
1979,"Finland","Ireland",6
1979,"Finland","Israel",12
1979,"Finland","Italy",8
1979,"Finland","Luxembourg",4
1979,"Finland","Portugal",2
1979,"Finland","Switzerland",10
1979,"Finland","The Netherlands",5
1979,"Finland","United Kingdom",7
1979,"France","Denmark",6
1979,"France","Finland",5
1979,"France","Germany",12
1979,"France","Greece",4
1979,"France","Israel",1
1979,"France","Luxembourg",2
1979,"France","Monaco",3
1979,"France","Portugal",10
1979,"France","Spain",8
1979,"France","Switzerland",7
1979,"Germany","Belgium",1
1979,"Germany","Denmark",10
1979,"Germany","Finland",5
1979,"Germany","Greece",2
1979,"Germany","Ireland",6
1979,"Germany","Portugal",4
1979,"Germany","Spain",12
1979,"Germany","Switzerland",7
1979,"Germany","The Netherlands",3
1979,"Germany","United Kingdom",8
1979,"Greece","Denmark",12
1979,"Greece","Finland",7
1979,"Greece","France",8
1979,"Greece","Ireland",10
1979,"Greece","Israel",4
1979,"Greece","Luxembourg",5
1979,"Greece","Spain",6
1979,"Greece","Sweden",1
1979,"Greece","Switzerland",2
1979,"Greece","The Netherlands",3
1979,"Ireland","Denmark",2
1979,"Ireland","Germany",5
1979,"Ireland","Greece",4
1979,"Ireland","Israel",12
1979,"Ireland","Luxembourg",3
1979,"Ireland","Norway",8
1979,"Ireland","Sweden",6
1979,"Ireland","Switzerland",1
1979,"Ireland","The Netherlands",10
1979,"Ireland","United Kingdom",7
1979,"Israel","Denmark",12
1979,"Israel","France",5
1979,"Israel","Germany",6
1979,"Israel","Greece",10
1979,"Israel","Ireland",3
1979,"Israel","Norway",2
1979,"Israel","Spain",8
1979,"Israel","Sweden",1
1979,"Israel","Switzerland",4
1979,"Israel","The Netherlands",7
1979,"Italy","Austria",4
1979,"Italy","Finland",7
1979,"Italy","France",10
1979,"Italy","Germany",1
1979,"Italy","Ireland",5
1979,"Italy","Monaco",2
1979,"Italy","Norway",3
1979,"Italy","Portugal",6
1979,"Italy","Spain",12
1979,"Italy","United Kingdom",8
1979,"Luxembourg","Denmark",4
1979,"Luxembourg","Finland",6
1979,"Luxembourg","France",12
1979,"Luxembourg","Germany",1
1979,"Luxembourg","Greece",5
1979,"Luxembourg","Ireland",7
1979,"Luxembourg","Israel",8
1979,"Luxembourg","Norway",2
1979,"Luxembourg","Portugal",3
1979,"Luxembourg","Spain",10
1979,"Monaco","Denmark",3
1979,"Monaco","France",10
1979,"Monaco","Germany",12
1979,"Monaco","Greece",7
1979,"Monaco","Israel",8
1979,"Monaco","Luxembourg",4
1979,"Monaco","Norway",6
1979,"Monaco","Portugal",5
1979,"Monaco","Switzerland",2
1979,"Monaco","United Kingdom",1
1979,"Norway","France",7
1979,"Norway","Ireland",5
1979,"Norway","Israel",12
1979,"Norway","Italy",3
1979,"Norway","Luxembourg",2
1979,"Norway","Portugal",6
1979,"Norway","Spain",1
1979,"Norway","Switzerland",8
1979,"Norway","The Netherlands",4
1979,"Norway","United Kingdom",10
1979,"Portugal","France",6
1979,"Portugal","Germany",2
1979,"Portugal","Greece",10
1979,"Portugal","Ireland",5
1979,"Portugal","Israel",12
1979,"Portugal","Italy",8
1979,"Portugal","Luxembourg",7
1979,"Portugal","Monaco",1
1979,"Portugal","Norway",3
1979,"Portugal","United Kingdom",4
1979,"Spain","Denmark",4
1979,"Spain","France",3
1979,"Spain","Germany",12
1979,"Spain","Greece",7
